Sex	agecl	rstart_dat	rend_dat	animal_id	mortcaus
M	C	13-Jun-00	07-Oct-00	CN132Ca	UNKN
F	C	13-Jun-00	07-Dec-00	CN133Ca	FADE
F	C	05-Mar-09	01-Jun-09	CN133Cb	PRED
M	C	14-Jun-00	29-Sep-00	CN134Ca	FADE
F	C	14-Jun-00	16-Aug-00	CN135Ca	PRED
F	C	14-Jun-00	17-Jul-03	CN136Ca	UNKN
F	C	14-Jun-00	04-Mar-10	CN137Ca	FADE
M	C	14-Jun-00	05-Nov-00	CN138Wa	UNKN
M	C	14-Jun-00	29-Jan-01	CN139Wa	FADE
M	C	19-Jun-00	28-Jun-00	CN140Wa	PRED
F	C	20-Jun-00	08-Aug-00	CN141Ca	UNKN
M	C	20-Jun-00	10-Jan-02	CN142Ca	PRED
M	C	20-Jun-00	19-Jun-00	CN143Ca	ACCI
F	C	20-Jun-00	15-May-05	CN144Ca	PRED
F	C	20-Jun-00	31-Aug-06	CN145Wa	FADE
M	C	21-Jun-00	24-Nov-03	CN146Wa	FADE
F	C	21-Jun-00	25-Oct-12	CN147Wa	FADE
M	C	21-Jun-00	20-Jun-01	CN148Wa	FADE
F	A	13-Dec-00	25-Apr-02	CN149Aa	UNKN
F	A	13-Dec-00	24-Dec-01	CN150Aa	ACCI
M	A	22-Jan-01	02-Sep-02	CN151Aa	FADE
M	A	25-Jan-01	11-Oct-05	CN152Ca	HUNT
M	A	04-Feb-01	03-Apr-02	CN153Ca	PRED
M	A	04-Feb-01	01-Apr-02	CN154Ca	UNKN
F	A	05-Feb-01	11-Feb-07	CN155Aa	FADE
M	A	05-Feb-01	22-Jan-02	CN156Aa	FADE
F	A	07-Feb-01	30-Sep-04	CN157Aa	FADE
F	A	07-Feb-01	22-Jul-02	CN158Aa	UNKN
M	A	07-Feb-01	22-Jan-02	CN159Aa	FADE
M	A	04-Mar-01	05-Apr-04	CN161Wa	PRED
M	A	04-Mar-01	21-Apr-02	CN162Wa	PRED
M	A	05-Mar-01	12-Nov-03	CN163Wa	FADE
F	A	05-Mar-01	25-Oct-12	CN164Wa	FADE
F	A	05-Mar-01	25-Oct-12	CN165Wa	FADE
F	A	05-Mar-01	03-Jul-09	CN166Wa	PRED
F	A	05-Mar-01	28-Oct-01	CN167Wa	UNKN
F	A	29-Mar-01	28-Apr-02	CN168Aa	PRED
M	A	26-Apr-01	17-Sep-01	CN169Ca	PRED
M	C	08-Jun-01	05-Jun-01	CN170Wa	ACCI
F	C	12-Jun-01	27-Oct-01	CN171Aa	FADE
M	C	12-Jun-01	28-Nov-03	CN172Aa	FADE
M	C	13-Jun-01	06-Nov-01	CN173Aa	FADE
F	C	13-Jun-01	06-Nov-01	CN174Aa	FADE
M	C	13-Jun-01	10-May-02	CN175Ca	PRED
F	C	13-Jun-01	31-Mar-02	CN176Ca	UNKN
F	C	13-Jun-01	03-Mar-10	CN177Ca	FADE
M	C	13-Jun-01	27-Apr-02	CN178Ca	PRED
M	C	13-Jun-01	23-Jun-01	CN179Ca	PRED
M	C	13-Jun-01	04-Jul-01	CN180Ca	PRED
F	C	13-Jun-01	06-Mar-02	CN181Ca	FADE
F	C	13-Jun-01	21-Jul-01	CN182Ca	FADE
M	C	14-Jun-01	09-Jun-04	CN183Wa	FADE
M	C	14-Jun-01	23-Mar-05	CN184Wa	FADE
F	C	14-Jun-01	15-Jun-01	CN185Wa	UNKN
M	C	14-Jun-01	30-Jun-01	CN186Wa	PRED
M	C	14-Jun-01	07-Aug-02	CN187Wa	FADE
F	C	19-Jun-01	11-Feb-07	CN188Aa	FADE
F	A	20-Jun-01	31-Mar-02	CN189Ca	UNKN
